Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11
abrasions,Redness,Pain,Swelling,Bleeding,Raw skin surface,,,,,,
acid_reflux,Heartburn,Regurgitation,Bloating,Burping,Sore throat,,,,,,
acne,Pimples,Blackheads,Whiteheads,Oily skin,Scarring,,,,,,
allergic_reaction,Itching,Rash,Swelling,Hives,Redness,,,,,,
allergic_rhinitis,Sneezing,Runny nose,Nasal congestion,Itchy eyes,Coughing,,,,,,
allergy_(mild),Sneezing,Itchy eyes,Mild rash,Runny nose,Nasal congestion,,,,,,
amoebiasis,Diarrhea,Abdominal pain,Cramps,Fatigue,Fever,,,,,,
amputation,Pain at amputation site,Phantom limb sensation,Swelling,Reduced mobility,,,,,,,
anaphylaxis,Difficulty breathing,Swelling of face and throat,Rapid pulse,Skin rash,Nausea,,,,,,
anemia,Fatigue,Pale skin,Weakness,Shortness of breath,Dizziness,Cold hands and feet,Headache,Irregular heartbeat,,,
appendicitis,Abdominal pain starting near the belly button and shifting to the lower right abdomen,Nausea,Vomiting,Fever,Loss of appetite,Constipation or diarrhea,Abdominal bloating,,,,
arthritis,Joint pain,Swelling,Stiffness,Decreased range of motion,Redness around joints,Warmth over affected areas,,,,,
asthma_attack,Difficulty breathing,Chest tightness,Wheezing,Coughing,Rapid breathing,Anxiety,Fatigue due to poor oxygen intake,,,,
athlete's_foot,Itching,Redness,Cracked or peeling skin (especially between toes),Burning sensation,Blisters,Thickened or discolored toenails,,,,,
back_strain,Pain in the lower back,Muscle spasms,Stiffness,Difficulty standing upright,Limited range of motion,Swelling in the back,,,,,
bee_sting,"Sharp, immediate pain at the sting site",Redness,Swelling,Itching,Burning sensation,"In rare cases, difficulty breathing or anaphylaxis",,,,,
blepharitis,Redness of the eyelids,Itchy eyelids,Crusting around the base of eyelashes,Burning or stinging sensation in the eyes,Sensitivity to light,Watery eyes,Gritty feeling in the eyes,,,,
blister,Fluid-filled bubble on the skin,Redness,Tenderness,Pain (especially if the blister is popped),Swelling,Irritation in the surrounding area,,,,,
botulism,Difficulty swallowing,Slurred speech,Muscle weakness,Dry mouth,Double vision,Drooping eyelids,Difficulty breathing,Paralysis in severe cases,,,
bronchial_asthma,Shortness of breath,Wheezing,Chest tightness,Coughing (especially at night or early morning),Difficulty breathing after exercise,Fatigue due to poor oxygenation,,,,,
bronchitis,Persistent cough,"Production of mucus (clear, yellow, green)",Shortness of breath,Chest discomfort,Fatigue,Fever,Wheezing,,,,
cellulitis,Redness of the skin,Swelling,Warmth in the affected area,Pain or tenderness,Fever,Chills,Blisters or pus-filled lesions in severe infections,,,,
chemical_burn,Redness,Blistering,Swelling,Pain or burning sensation,Peeling skin,Watery or teary eyes (if chemicals affect the eyes),Tissue damage or necrosis in severe cases,,,,
chicken_pox,Itchy rash (starts as red spots and evolves into fluid-filled blisters),Fever,Fatigue,Loss of appetite,Headache,Muscle aches,,,,,
chlamydia,Painful urination,Abnormal vaginal or penile discharge,Pain or bleeding during intercourse,Lower abdominal pain,Testicular pain or swelling (in men),Spotting between periods (in women),,,,,
choking,Inability to speak or breathe,Wheezing or gasping sounds,Coughing (if partially blocked),Bluish discoloration of the lips or face,Loss of consciousness,Grabbing the throat,,,,,
cholera,Watery diarrhea,Dehydration,Vomiting,Muscle cramps,Sunken eyes,Rapid heartbeat,Lethargy or fatigue,Dry mouth,,,
cold_sores,Tingling or itching around the lips,Fluid-filled blisters,Crusting or scabbing after the blister bursts,Pain around the lips or mouth,Swelling of the affected area,Fever in severe cases,,,,,
common_cold,Sneezing,Runny nose,Nasal congestion,Sore throat,Coughing,Mild headache,Low-grade fever,Fatigue,Muscle aches,,
concussion,Headache,Confusion,Nausea,Vomiting,Dizziness,Sensitivity to light and noise,Memory problems,Fatigue,Blurred vision,Loss of consciousness (in severe cases),Difficulty concentrating
contact_dermatitis,Redness,Itching,Swelling,Rash or blisters,Dry or cracked skin,Burning or stinging sensation,Peeling skin,Pain in severe cases,,,
covid-19,Fever,Dry cough,Fatigue,Shortness of breath,Loss of taste or smell,Sore throat,Muscle or joint pain,Headache,Nasal congestion,Diarrhea (less common),Chest pain (severe cases)
cut,Bleeding,Redness around the wound,Swelling,Raw or open skin surface,"Risk of infection (pus, warmth, or increased redness) if untreated",,,,,,
dengue_fever,High fever,Severe headache,Pain behind the eyes,Joint and muscle pain,Skin rash,Nausea,Vomiting,Fatigue,Bleeding gums or nose (in severe cases),,
diabetes,Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,Blurred vision,Slow-healing wounds,Tingling or numbness in hands or feet (especially in Type 2 diabetes),Frequent infections,,,
diarrhea,Loose or watery stools,Abdominal cramps,Urgency to have bowel movements,"Dehydration (dry mouth, fatigue, or dark urine)",Nausea,Fever (in some cases),,,,,
diphtheria,Sore throat,Thick gray membrane covering the throat or tonsils,Difficulty swallowing,Fever,Swollen glands in the neck,Weakness,Hoarseness or difficulty breathing (in severe cases),,,,
dislocation,Severe pain in the joint,Swelling,Deformity of the joint,Inability to move the affected joint,Bruising,Numbness or tingling around the joint,,,,,
ear_infection,Ear pain,Hearing loss,Fluid drainage from the ear,Fever,Irritability (in children),Balance problems,Fullness or pressure in the ear,,,,
eczema,Dry skin,Itching (often intense),Redness,Cracked or thickened skin,Small raised bumps that may leak fluid,Swelling,Flare-ups triggered by irritants or allergens,,,,
electric_shock,Burns (entry and exit points),Muscle pain or spasms,Numbness or tingling,Confusion,Loss of consciousness,Irregular heartbeat,Difficulty breathing (in severe cases),,,,
fainting,Sudden dizziness,Lightheadedness,Weakness,Pale skin,Sweating,Brief loss of consciousness,Nausea or blurred vision before fainting,,,,
food_poisoning,Nausea,Vomiting,Diarrhea,Abdominal cramps,Fever,Fatigue,"Dehydration (dry mouth, dark urine, weakness)",,,,
fracture,Severe pain at the injury site,Swelling,Bruising,Visible deformity,Inability to move or bear weight on the affected limb,Numbness or tingling (if nerves are affected),,,,,
frostbite,"Cold, pale, or hard skin",Numbness in the affected area,Tingling or burning sensation as it rewarms,Blisters (in severe cases),"Skin discoloration (red, blue, or black in severe frostbite)",,,,,,
fungal_infection,Itching at the affected site,Redness,Scaling or flaky skin,Cracked or thickened nails (in nail fungus),Peeling skin (especially between toes for athlete's foot),White patches (in oral thrush),,,,,
gastric_reflux,Heartburn,Regurgitation of stomach acid or food,Bloating,Burping,Coughing (especially at night),Hoarseness or sore throat,Difficulty swallowing,,,,
gastritis,Upper abdominal pain or discomfort,Nausea,Vomiting,Feeling full quickly during meals,Loss of appetite,Bloating,Indigestion (burning sensation in the stomach),,,,
gastroenteritis,Diarrhea,Nausea,Vomiting,Abdominal cramps,Low-grade fever,Fatigue,"Dehydration (dry mouth, dizziness, dark urine)",,,,
gastroesophageal_reflux_disease,Heartburn,Regurgitation,Difficulty swallowing,Chest pain (especially after eating or lying down),Hoarseness,Chronic cough,Sore throat,,,,
giardiasis,Diarrhea (foul-smelling and greasy),Abdominal cramps,Bloating,Gas,Fatigue,Nausea,Weight loss,,,,
gonorrhea,Painful urination,Abnormal vaginal or penile discharge (yellowish or greenish),Lower abdominal pain,Pain during intercourse,Spotting between periods,Testicular pain or swelling (in men),,,,,
gout,Sudden and severe joint pain (commonly in the big toe),Redness,Swelling,Warmth over the affected joint,Limited range of motion,Tenderness even to light touch,,,,,
heart_attack,"Chest pain or pressure (may radiate to the arm, neck, or jaw)",Shortness of breath,Sweating,Nausea,Dizziness,Fatigue,Rapid or irregular heartbeat,,,,
heat_exhaustion,Heavy sweating,Weakness,Dizziness,Nausea,Headache,Muscle cramps,"Pale, clammy skin",Rapid heartbeat,,,
heat_rash,Red bumps on the skin,Itching or prickling sensation,"Irritation in areas with sweat accumulation (e.g., neck, armpits, groin)",Small fluid-filled blisters (in severe cases),,,,,,,
heat_stroke,High body temperature (above 104°F or 40°C),Confusion,Loss of consciousness,"Red, hot, and dry skin (no sweating)",Difficulty breathing,Rapid pulse,Seizures,,,,
hemorrhoids,Pain or discomfort during bowel movements,Rectal bleeding (bright red blood),Itching around the anus,Swelling or a lump near the anus,Mucus discharge,,,,,,
hepatitis_a,Fatigue,Nausea,Vomiting,Abdominal pain (especially near the liver),Jaundice (yellowing of skin and eyes),Dark urine,Pale-colored stools,Loss of appetite,Low-grade fever,,
hepatitis_b,Fatigue,Jaundice (yellowing of the skin and eyes),Abdominal pain (right upper side near the liver),Dark urine,Pale stools,Nausea,Vomiting,Loss of appetite,Fever (in acute cases),,
hepatitis_c,Fatigue,Jaundice (yellowing of skin and eyes),Dark urine,Pale stools,Abdominal pain,Loss of appetite,Nausea,Joint pain,Muscle aches,,
high_blood_pressure_(hypertension),Often asymptomatic (silent),Headaches (in severe cases),Dizziness,Shortness of breath,Nosebleeds (rare),Visual changes (blurred vision in extreme cases),,,,,
hives_(urticaria),"Raised, itchy welts on the skin",Red or skin-colored patches,Burning or stinging sensation,Welts that change shape or move around the body,Swelling in severe cases,,,,,,
hyperthermia,High body temperature (above normal),Heavy sweating (early stages),"Dry, hot skin (late stages)",Fatigue,Confusion,Nausea,Dizziness,Rapid heartbeat,Muscle cramps,,
hyperventilation,Rapid breathing,Lightheadedness or dizziness,"Tingling in hands, feet, or mouth",Chest tightness,Weakness,Fainting (in severe cases),Anxiety or panic,,,,
hypoglycemia,Shakiness,Sweating,Confusion,Dizziness,Weakness,Rapid heartbeat,Hunger,Irritability,Loss of consciousness (in severe cases),Blurred vision,
hypothermia,Shivering,"Cold, pale skin",Slurred speech,Drowsiness or confusion,Weak pulse,Slow breathing,Loss of coordination,Loss of consciousness (severe cases),,,
ibs_(irritable_bowel_syndrome),Abdominal pain or cramping,Bloating,Diarrhea,Constipation,Mucus in stools,Urgency to have bowel movements,Fatigue,Gas,,,
impetigo,"Red sores on the face, hands, or other areas",Fluid-filled blisters that burst and form a yellow crust,Itchy rash,"Red, inflamed skin around the sores",Swollen lymph nodes (in severe cases),,,,,,
influenza_(flu),Sudden fever,Chills,Cough,Sore throat,Muscle aches,Fatigue,Headache,Runny or stuffy nose,Loss of appetite,Nausea (in some cases),
jaundice,Yellowing of the skin and eyes,Dark-colored urine,Pale stools,Itchy skin,Fatigue,Abdominal pain (right upper side),Weight loss (if chronic),,,,
jellyfish_sting,Burning or stinging pain on the skin,Red or purple rash in a linear pattern,Swelling,Itching,Nausea and vomiting (in severe cases),Difficulty breathing (if allergic reaction occurs),,,,,
