Disease,Text Pattern
abrasions,"I fell on gravel, now my knee has a burning sensation"
abrasions,"Scraped my elbow on the pavement, it stings and looks red"
abrasions,"Bike accident left me with raw, painful patches on my palms"
abrasions,"Playing soccer, got a rough tackle, now my shin hurts"
abrasions,"Slipped on the stairs, my ankle is scraped and swollen"
abrasions,"Brushed against a rough wall, my arm feels tender"
abrasions,"Gardening mishap, thorns caused small cuts on my hands"
abrasions,"Kitchen accident, knife cut left a painful abrasion on my finger"
abrasions,"Skating fall resulted in a scraped knee, it's sore"
abrasions,"Outdoor hike, got scratches on my legs from branches"
abrasions,"Clumsy moment, table edge scraped my shin, feels raw"
abrasions,"Tripped during a run, my palms are grazed and sensitive"
abrasions,"Brush burn from a fall, my cheek feels raw and warm"
abrasions,"Climbing accident, rope burn on my hands is painful"
abrasions,"Playful dog scratched my arm, it's red and tender"
abrasions,"Diy project gone wrong, splinters caused small abrasions on my fingers"
abrasions,"Rough sports game, got turf burns on my elbows"
abrasions,"Yard work mishap, thorns caused multiple small cuts on my hands"
abrasions,"Hiking adventure turned painful, rocks caused abrasions on my knees"
abrasions,"Bike handlebar slipped, scraped my leg, now it's red and sore"
abrasions,"Skateboarding accident, rough pavement caused abrasions on my elbows"
abrasions,"Yard cleanup, got scratches on my arms from bushes"
abrasions,"Running on the track, stumbled and got scrapes on my knees"
abrasions,"Slipped on wet floor, abrasions on my hands are stinging"
abrasions,"Cooking incident, hot pan caused burns and abrasions on my arm"
abrasions,"Fell off the swing, my back has abrasions and feels tender"
abrasions,"Painting mishap, brush slip caused abrasions on my fingers"
abrasions,"Soccer match, turf burns on my thighs are uncomfortable"
abrasions,"Skiing fall, icy surface caused abrasions on my hands"
abrasions,"Playful cat scratched my leg, it's red and throbbing"
abrasions,"Camping trip, thorns caused small cuts on my feet"
abrasions,"Playing tag, fell on gravel, now my hands are scraped"
abrasions,"Diy project, sandpaper caused abrasions on my fingertips"
abrasions,"Skateboarding wipeout, road rash on my elbows is sore"
abrasions,"Gardening incident, thorns left small cuts on my arms"
abrasions,"Outdoor adventure, rocks caused scrapes on my hands"
abrasions,"Running on a trail, tripped and got abrasions on my shins"
abrasions,"Slipped on ice, palms have abrasions and are tender"
abrasions,"Cooking burn, hot oil caused small abrasions on my hand"
abrasions,"Playground fall, gravel caused abrasions on my knees"
abrasions,"Painting project, accidental splatter caused abrasions on my face"
abrasions,"Gym workout, weight lifting mishap, palms have abrasions"
abrasions,"Skateboarding tumble, road rash on my knees is painful"
abrasions,"Yard work, thorns caused small cuts on my legs"
abrasions,"Playing in the park, gravel caused abrasions on my hands"
abrasions,"Crafting accident, scissors cut caused abrasions on my fingers"
abrasions,"Soccer game, turf burns on my arms are stinging"
abrasions,"Biking incident, rough trail caused abrasions on my legs"
abrasions,"Skating fall, road rash on my palms is tender"
abrasions,"Playful puppy nipped at my hand, now it's red and sore"
acid_reflux,I feel this burning sensation in my chest after eating
acid_reflux,It's like a sour taste in my mouth all the time
acid_reflux,I wake up with a sore throat almost every morning
acid_reflux,I have this constant feeling of a lump in my throat
acid_reflux,It's like my food keeps coming back up
acid_reflux,I burp a lot and it tastes like stomach acid
acid_reflux,"After meals, i get this intense chest pain"
acid_reflux,I can't lie down without feeling the acid creeping up
acid_reflux,My voice has been hoarse for weeks now
acid_reflux,It feels like something is stuck in my chest
acid_reflux,"I cough a lot, especially at night"
acid_reflux,I have this constant need to clear my throat
acid_reflux,I've been losing weight unintentionally
acid_reflux,My mouth tastes metallic and bitter
acid_reflux,It feels like my food is just sitting in my chest
acid_reflux,I have this burning sensation in my throat
acid_reflux,My chest hurts and it feels like it's on fire
acid_reflux,I feel the acid rising up after every meal
acid_reflux,I have trouble swallowing sometimes
acid_reflux,I'm constantly bloated and gassy
acid_reflux,My teeth feel sensitive and worn down
acid_reflux,I get nauseous after eating anything
acid_reflux,I feel like i'm always on the verge of throwing up
acid_reflux,My chest feels tight and uncomfortable
acid_reflux,I have trouble catching my breath sometimes
acid_reflux,I feel like there's a fire in my chest
acid_reflux,I have this constant need to burp
