Disease,Step1,Step2,Step3,Step4,Step5,Step6
abrasions,Rinse the abrasion with clean water,Gently remove dirt or debris,"Apply antiseptic, then cover with a sterile dressing",,,
acid_reflux,"Encourage small, frequent meals and avoid trigger foods such as spicy or fatty foods",Remain upright for at least an hour after eating,Use over-the-counter antacids to relieve symptoms if necessary,,,
acne,Cleanse the skin gently with a mild cleanser twice daily,Avoid squeezing or picking at the acne,Use over-the-counter topical treatments containing benzoyl peroxide or salicylic acid,,,
allergic_reaction,Identify and remove the allergen if possible,Administer an antihistamine and monitor for signs of severe reaction,,,,
allergic_rhinitis,Avoid known allergens,Use antihistamines and nasal sprays as directed,Encourage rinsing nasal passages with saline solutions to clear allergens,,,
allergy_(mild),Avoid the allergen if identified,"Use over-the-counter antihistamines to relieve symptoms such as itching, sneezing, or mild rashes",Apply cool compresses to itchy skin areas for comfort,,,
amoebiasis,"Encourage consumption of clean, safe water",Monitor hydration levels,Seek medical advice for antiparasitic treatment if necessary,,,
amputation,Call emergency services,Control bleeding with direct pressure,"Wrap the amputated part in a clean cloth, place it in a plastic bag, and keep it cool",,,
anaphylaxis,Call emergency services immediately,Administer an epinephrine auto-injector if available,Have the person lie down with legs elevated,,,
anemia,Encourage a diet rich in iron and vitamin C for better absorption,"Monitor for symptoms like fatigue and breathlessness, and seek medical advice for supplementation if needed",,,,
appendicitis,Seek emergency medical attention,"Avoid giving food, drink, or painkillers until medical professionals evaluate the condition",,,,
arthritis,"Encourage gentle, low-impact exercises to maintain joint function",Apply warm compresses to relieve stiffness or cold packs to reduce swelling,Seek medical advice for pain management options,,,
asthma_attack,Help the person sit upright,Assist them with their prescribed inhaler,"If symptoms don't improve, seek emergency medical help",,,
athlete's_foot,Keep feet clean and dry,Apply antifungal cream,Wear breathable footwear and change socks frequently,,,
back_strain,Encourage rest and use ice packs,Apply a warm compress after 48 hours,Avoid heavy lifting or strenuous activities,,,
bee_sting,Remove the stinger by scraping it out with a credit card,Wash the area with soap and water,Apply ice wrapped in cloth to reduce swelling,,,
blepharitis,Clean eyelids gently with a diluted baby shampoo solution,Apply warm compresses to loosen crusts,Seek medical advice for persistent issues,,,
blister,Do not pop the blister,Cover with a sterile dressing if necessary,Keep clean and dry to prevent infection,,,
botulism,Seek emergency medical help immediately,Do not induce vomiting unless instructed by professionals,,,,
bronchial_asthma,Assist the person in using their prescribed inhaler,Encourage sitting upright to ease breathing,"Monitor symptoms, and if they don't improve, seek medical help",,,
bronchitis,Encourage rest and fluids,Use a humidifier to moisten the air and ease breathing,Monitor for worsening symptoms,,,
cellulitis,Mark the borders of the redness to monitor spread,Elevate the affected area,Seek medical treatment for antibiotics,,,
chemical_burn,Remove contaminated clothing,Rinse the affected area under running water for 20 minutes or until help arrives,,,,
chicken_pox,Avoid scratching to prevent scarring and infection,Apply calamine lotion to reduce itching,Take oatmeal baths for soothing relief,Trim fingernails to prevent further scratching,Stay hydrated and rest,Use antihistamines for additional relief (as advised by a doctor)
